Company/Bond,Net Debt/EBITDA,Total Debt/EBIT,Net Debt/EBIT,EBITDA to Interest Expense,EBITDA-CapEx/Interest Expense,EBIT to Interest Expense,Interest Expense,Common Equity/Total Assets,Long-Term Debt/Equity,Long-Term Debt/Capital,Long-Term Debt/Total Assets,Total Debt/Equity,Total Debt/Capital,Total Debt/Total Assets,Num Rating 1 Q Ahead,Market Cap,Industry_Number
5,-2.82,0.39,-3.54,221.29,164,178.48,21,78.06,3.96,3.71,3.09,6.81,6.37,5.31,0,262065.3621,0
5,-2.99,0.37,-3.82,236.58,151.79,182.37,19,77.93,2.52,2.37,1.97,6.33,5.95,4.93,0,293281.1796,0
5,-2.91,0.37,-3.7,249.21,128.74,197.95,19,78.99,2.7,2.54,2.13,6.32,5.95,4.99,0,292691.4579,0
5,-2.87,0.34,-3.6,248.41,145.91,201.32,22,78.71,2.56,2.42,2.02,6.01,5.67,4.73,0,376371.4048,0
5,-2.78,0.4,-3.5,216.71,119,171.46,24,78.7,3.53,3.3,2.78,6.81,6.37,5.36,0,375847.3218,0
5,-2.81,0.32,-3.52,197.67,99.67,157.7,27,78.74,3.38,3.2,2.66,5.48,5.2,4.32,0,391750.0087,0
5,-2.79,0.32,-3.59,210.84,114.16,148.96,25,78.56,3.27,3.1,2.57,5.3,5.03,4.17,0,395055.7935,0
5,-2.9,0.32,-3.77,226.64,84.6,175.96,25,80.4,3.11,2.96,2.5,5.04,4.8,4.05,0,359376.6225,0
5,-2.94,0.31,-3.82,216.31,103.73,171.04,26,81.3,2.97,2.84,2.42,4.83,4.6,3.92,0,376023.5777,0
5,-3.05,0.3,-3.96,233.04,136.31,185.58,26,80.53,1.99,1.9,1.6,4.68,4.47,3.77,0,362970.1803,0
5,-3.1,0.28,-3.94,229.08,137.81,181.08,26,80.57,1.72,1.64,1.38,4.5,4.31,3.63,0,427891.6121,0
5,-2.99,0.27,-3.77,260.92,180.15,206.92,26,81.6,1.66,1.59,1.35,4.34,4.16,3.54,0,527687.3689,0
5,-2.96,0.26,-3.73,223.77,142.83,178.07,30,82.52,1.61,1.54,1.33,4.21,4.04,3.48,0,517738.0267,0
6,0.28,0.54,0.4,219.27,108.24,155.76,66,49.97,6.64,5.95,3.44,11.68,10.46,6.05,0,419437.92,7
6,0.28,0.56,0.4,203.3,69.83,136.34,64,50.52,6.28,5.63,3.3,11.57,10.37,6.07,0,429400.2,7
6,0.3,0.57,0.44,158.36,65.2,108.8,88,51.19,6.18,5.54,3.29,11.65,10.43,6.19,0,398301.75,7
6,0.48,0.85,0.72,146.47,15.82,80.91,68,49.9,6.44,5.54,3.33,16.08,13.85,8.33,0,388382.45,7
6,0.61,1.18,1,92.76,14.99,43.9,88,49.93,10.99,9.27,5.68,18.47,15.59,9.56,0,355385,7
6,0.72,1.46,1.27,102.79,19.15,50.42,85,49.58,10.86,9.13,5.58,18.91,15.9,9.72,0,346860.8,7
6,0.84,1.93,1.69,111.59,29.53,53.36,78,50.12,11.22,9.4,5.82,19.4,16.25,10.07,0,309519.05,7
6,1.13,3,2.72,88.78,-13.48,9.53,60,50.72,11.27,9.25,5.92,21.88,17.95,11.49,0,323960.2,7
6,1.38,4.67,4.15,64.55,4.79,2.66,77,50.23,16.56,13.34,8.63,24.15,19.45,12.58,0,346647.73,7
6,1.61,7.32,6.6,79.44,22.49,15.16,75,49.81,16.68,13.33,8.61,25.14,20.09,12.99,0,388739.78,7
9,-1.43,0.32,-1.63,138.59,126.84,121.14,37,50.5,9.09,7.94,4.59,14.55,12.7,7.35,0,256617.075,0
9,-1.25,0.28,-1.41,246.7,236.54,230.08,37,53.94,8.46,7.45,4.56,13.54,11.92,7.3,0,199450.68,0
9,-1.36,0.27,-1.52,158.57,147.54,139.81,37,53.83,8.2,7.24,4.41,13.12,11.59,7.06,0,209683.38,0
9,-1.15,0.25,-1.28,179.68,159.19,160.27,37,53.62,10.7,9.48,5.74,12.86,11.4,6.9,0,234527.73,0
9,-1.14,0.4,-1.25,173.56,161.02,158.13,45,51.28,20.59,16.78,10.56,22.72,18.51,11.65,0,214063.09,0
9,-1.08,0.37,-1.2,122.61,115.79,113.4,72,52.52,19.95,16.63,10.48,19.95,16.63,10.48,0,217776,0
9,-1.29,0.44,-1.42,76.54,68.7,67.96,84,53.6,22.29,18.23,11.95,22.29,18.23,11.95,0,209324.9,0
9,-1.37,0.44,-1.5,72.98,66.15,65.65,94,52.51,20.88,17.28,10.97,20.88,17.28,10.97,0,217596.72,0
9,-1.51,0.44,-1.67,84.35,79.71,76.63,94,55.29,20.08,16.72,11.1,20.08,16.72,11.1,0,270942,0
9,-1.33,0.44,-1.47,91.28,86.04,84.15,95,57.13,18.61,15.69,10.63,18.61,15.69,10.63,0,256374.79,0
9,-1.56,0.43,-1.72,75.16,67.27,67.09,95,58.18,17.39,14.81,10.12,17.39,14.81,10.12,0,250638.72,0
9,-2.07,0.55,-2.35,10.3,0.14,2,96,54.72,16.14,13.68,8.83,18,15.25,9.85,0,223666.9441,0
9,-2.4,0.6,-2.75,63.35,57,55.87,95,56.48,14.11,12.02,7.97,17.36,14.79,9.81,0,238823.145,0
9,-2.36,0.72,-2.76,83.62,74.76,74.01,105,56.4,16.46,13.77,9.28,19.55,16.35,11.03,0,287690.76,0
9,-2.47,0.68,-2.89,79.5,70.96,69.83,109,57.19,15.58,13.15,8.91,18.51,15.62,10.58,0,277754.88,0
9,-2.01,0.58,-2.29,58.8,43.85,50.61,120,55.43,15.96,13.33,8.85,19.76,16.5,10.95,0,310503,0
9,-2.04,0.57,-2.33,61.76,51.33,53.68,118,57.35,15.47,12.95,8.87,19.51,16.33,11.19,0,338577.4,0
9,-1.89,0.82,-2.18,68.37,55.54,59.03,135,55.42,24.3,19.13,13.47,27,21.26,14.96,0,343566.3,0
9,-2.13,0.76,-2.47,47.02,40.21,39.85,175,56,23.65,19.11,13.25,23.77,19.21,13.31,0,382701.8,0
9,-1.91,0.82,-2.27,48.66,40.79,38.36,169,52.08,22.99,18.36,11.98,25.22,20.14,13.14,0,381726.1,0
9,-1.99,0.87,-2.4,45.17,37.2,36.3,161,53.15,20.49,16.22,10.89,26.31,20.83,13.98,0,329834.015,0
9,-1.9,1.02,-2.32,57.39,48.19,48,162,52.55,19.87,15.29,10.44,29.99,23.07,15.76,0,354392.05,0
9,-1.93,1.19,-2.38,38.43,31.84,31.25,211,51.01,30.67,22.66,15.65,35.36,26.12,18.04,0,353460.36,0
9,-2.54,1.94,-3.37,-2.27,-9.48,-8.31,247,45.9,34.72,24.1,15.94,44.07,30.59,20.23,0,439679,0
9,-2.52,2.13,-3.36,29.13,23.69,23.27,249,44.79,35.92,23.98,16.09,49.8,33.24,22.31,0,434660.1,0
11,1.02,1.47,1.19,19.6,11.92,16.71,126.9,43.62,84.32,45.12,36.78,86.87,46.49,37.89,1,102477.062,4
11,1.89,3.38,2.3,12.55,9.16,10.39,180.9,18.68,340.33,77.29,63.58,340.33,77.29,63.58,2,107129.352,4
11,2.2,3.1,2.66,9.91,8.06,8.16,218.3,11.43,604.52,85.81,69.1,604.52,85.81,69.1,2,110321.904,4
14,0.02,0.83,0.02,21.75,16.21,19.38,125,46.72,14.26,9.6,6.66,48.5,32.66,22.66,0,250138.45,2
14,0.04,0.94,0.04,57.79,45.45,53.12,58,47.62,13.11,8.6,6.24,52.49,34.42,24.99,0,248164.8549,2
14,-0.01,1.05,-0.02,50.15,35.34,45.33,55,44.24,16.31,10.15,7.22,60.74,37.79,26.87,0,216638.345,2
14,0.1,1.25,0.11,45.93,37.38,42.16,73,42.23,16.45,9.52,6.95,72.85,42.15,30.77,0,176114.6471,2
14,-0.06,0.96,-0.06,59.8,48.4,56.34,65,43.04,15.74,9.89,6.77,59.19,37.18,25.47,0,188372.34,2
14,-0.07,1.14,-0.08,54.04,42.3,40.43,70,56.37,9.55,7.88,5.4,21.23,17.52,12.01,0,251123.0907,2
14,0.09,1.26,0.11,57.69,47.41,40.42,64,56.89,9.4,7.63,5.36,23.11,18.77,13.19,0,272517.84,2
14,0.15,1.05,0.19,78.93,67.52,58.95,85,55.8,8.8,7.2,4.93,22.29,18.23,12.48,0,233219.3429,2
14,0.2,1.21,0.26,96.22,82.4,74.48,58,56.29,10.35,8.22,5.84,25.83,20.53,14.59,0,269532.57,2
14,0.07,1.22,0.1,66.73,57.66,49.52,73,55.43,10.14,7.9,5.64,28.44,22.14,15.81,0,261651.2166,2
14,0.01,1.08,0.01,64.65,56.93,50.27,88,55.78,11.63,9.12,6.51,27.51,21.58,15.39,0,255367.3796,2
14,-0.06,1.09,-0.08,46.93,37.65,36.69,128,55.05,10.66,8.38,5.89,27.16,21.36,14.99,0,223369.46,2
14,-0.1,1.17,-0.13,44.04,40.38,33.28,127,54.78,9.52,7.36,5.23,29.37,22.7,16.13,0,200948.97,2
14,-0.08,0.76,-0.11,40.53,36.17,28.98,122,58,8.45,7.06,4.91,19.56,16.36,11.38,0,194434.2462,2
14,-0.06,0.74,-0.08,43.66,39.6,32.46,122,60.39,8.1,6.86,4.91,18.18,15.38,11,0,199740.5873,2
14,-0.21,1.17,-0.28,35.7,27.98,25.54,141,56.08,9.65,7.58,5.43,27.27,21.43,15.33,0,184063.7676,2
14,-0.19,0.75,-0.25,31.66,29.35,24.2,181,61.48,9.35,8.02,5.76,16.62,14.25,10.24,0,171658.52,2
14,-0.26,0.59,-0.35,43.53,37.24,31.96,116,61.26,7.96,7.01,4.89,13.48,11.87,8.27,0,182598.5443,2
14,-0.22,0.51,-0.3,52.76,44.32,39.71,102,64.07,7.98,7.15,5.12,11.57,10.37,7.43,0,171130.3632,2
14,-0.99,0.54,-1.34,32.75,27.56,22.01,118,61.64,7.76,6.98,4.8,11.17,10.05,6.91,0,204488.2106,2
14,-0.74,0.49,-0.99,39.94,35.74,31.74,155,65.5,6.58,5.97,4.32,10.22,9.27,6.71,0,184511.6,2
14,-0.72,0.58,-0.99,102.67,71.52,65.72,39,61.58,8.48,7.57,5.23,12.06,10.76,7.44,0,177281.3231,2
14,-0.7,0.62,-0.96,78.41,61.1,58.52,69,61,9.07,8.02,5.54,13.04,11.54,7.97,0,177126.1729,2
14,-0.61,0.88,-0.83,33.34,21.5,25.01,134,56.32,11.23,9.35,6.35,20.18,16.79,11.4,0,166852.1379,2
14,-0.59,1.2,-0.82,40.18,34.13,29.7,142,56.8,12.05,9.62,6.87,25.24,20.15,14.38,0,153677.53,2
14,-0.46,1.09,-0.62,29.47,25.53,22.2,169,57.06,10.86,8.69,6.22,25.02,20.01,14.33,0,138686.5382,2
14,-0.47,1.04,-0.62,46.16,38.37,36.27,121,58.36,10.6,8.53,6.21,24.22,19.5,14.18,0,116484.3823,2
14,-0.29,1.02,-0.38,44.25,38.04,35.19,130,51.72,13.79,10.61,7.16,29.93,23.04,15.55,0,125823.1747,2
14,-0.26,1.74,-0.33,36.85,32.38,29.04,129,48.96,34.85,23.64,17.13,47.45,32.18,23.33,0,119471.66,2
14,-0.66,2.53,-0.84,13.82,12.84,11.2,369,46.78,48.91,30.68,22.93,59.41,37.27,27.85,1,102519.4824,2
14,1.43,4.36,2.03,4.19,3.23,0.36,464,42.24,47.76,31.05,20.28,53.8,34.98,22.85,1,132340.3914,2
14,1.72,4.19,2.62,10.75,9.99,6.82,522,45.92,42.5,28.12,19.62,51.12,33.83,23.6,1,146793.3,2
14,0.72,3.02,1.17,15.66,14.49,9.95,404,45.14,40.15,27.34,18.24,46.89,31.92,21.29,1,137769.5655,2
14,0.53,2.9,0.85,14.98,13.77,9.66,423,45.89,39.1,26.91,18.05,45.33,31.19,20.92,1,161894.1273,2
14,0.52,2.61,0.84,12.89,10.5,7.2,396,43.69,42.27,28.73,18.58,47.13,32.03,20.71,1,135905.5728,2
14,0.63,2.6,1,16.19,15.15,10.49,390,44.81,40.09,27.33,18.06,46.69,31.83,21.04,1,163923,2
14,0.59,2.43,0.9,17.22,16.02,12.88,378,43.48,38.6,26.04,16.88,48.24,32.54,21.1,1,169568.8413,2
14,0.7,2.6,1.06,12.32,11.31,8.18,381,44.72,37.85,25.69,17.02,47.32,32.12,21.28,1,171798.1233,2
14,0.22,2.51,0.34,13.54,11.84,7.6,373,43.71,38,26.05,16.7,45.86,31.44,20.16,1,182959.9522,2
14,0.23,2.75,0.34,15.21,14.32,10.43,371,43.87,38.01,25.55,16.8,48.75,32.77,21.55,1,182477.0596,2
14,0.14,2.6,0.22,16.61,15.74,12.04,356,43.78,39.93,27.25,17.58,46.53,31.75,20.49,1,204710.4253,2
14,0.13,2.51,0.2,14.98,14.16,10.51,340,44.4,40.6,27.69,18.12,46.65,31.81,20.82,1,185434.5994,2
14,0.19,2.47,0.28,13.06,11.56,8.77,347,44.32,39.76,26.93,17.7,47.62,32.26,21.2,1,187173.326,2
14,0.15,2.57,0.21,15.35,14,10.81,321,45.25,35.42,24.04,16.09,47.35,32.14,21.52,1,196001.37,2
14,0.19,2.7,0.27,15.67,14.86,11.52,343,44.38,41.93,28.11,18.69,49.16,32.96,21.92,1,203353.5392,2
14,0.18,2.62,0.26,14.6,13.8,10.73,343,45.49,40.44,27.45,18.48,47.32,32.12,21.62,1,188133.4089,2
14,0.03,2.77,0.04,9.86,8.51,6.08,353,42.53,44.04,29.12,18.82,51.22,33.87,21.89,1,187255.5331,2
14,0.45,2.8,0.64,13.91,13.05,9.83,309,41.88,43.46,28.37,18.28,53.15,34.71,22.36,1,195964.65,2
14,0.28,2.82,0.39,17.25,16.32,12.93,278,41.56,39.79,26.13,16.61,52.28,34.33,21.83,1,212624.3428,2
14,1.06,3.2,1.5,16.65,15.13,12.08,278,39.1,43.32,27.43,17.02,57.95,36.69,22.76,1,209196.436,2
14,0.92,3.3,1.33,9.73,7.61,5.48,335,38.63,44.34,27.72,17.21,59.97,37.49,23.28,1,196857.0322,2
14,1.11,3.1,1.57,17.37,15.62,12.72,306,38.69,43.92,27.09,17.08,62.15,38.33,24.16,1,199329,2
14,1.29,3.52,1.85,16.66,14.49,11.91,292,36.77,48.29,28.4,17.85,70.05,41.2,25.89,1,182188.0748,2
16,1.38,3.09,2.84,12.49,4.52,6.18,572,24.92,40.86,26.11,16.24,56.48,36.09,22.45,1,108401.6028,0
16,1.09,2.67,2.26,13.32,3.8,6.67,551,25.71,37.26,25.3,15.17,47.3,32.11,19.26,1,108424.4625,0
