Company/Bond,Net Debt/EBITDA,Total Debt/EBIT,Net Debt/EBIT,EBITDA to Interest Expense,EBITDA-CapEx/Interest Expense,EBIT to Interest Expense,Interest Expense,Common Equity/Total Assets,Long-Term Debt/Equity,Long-Term Debt/Capital,Long-Term Debt/Total Assets,Total Debt/Equity,Total Debt/Capital,Total Debt/Total Assets,Num Rating,Market Cap,Industry
19,1.23,1.67,1.45,13.77,12.08,11.71,218,24.35,165.11,62.2,40.21,165.45,62.33,40.29,1,150266.52,1
19,1.26,1.64,1.48,12.36,10.28,10.29,213,23.34,180.96,63.61,42.23,184.48,64.85,43.05,1,156775.52,1
19,1.12,1.56,1.3,15.49,13.85,13.18,197,21.65,150.13,52.99,32.51,183.31,64.7,39.69,1,157451.52,1
19,1.13,1.76,1.31,17.63,15.99,15.65,233,19.72,188.93,58.25,37.26,224.33,69.17,44.24,1,166693.05,1
21,4.59,7.14,7.11,1.92,1.88,1.14,40.8,5.35,1053.24,91.33,56.36,1053.24,91.33,56.36,2,420.4274,1
21,4.38,6.56,6.54,1.88,1.8,1.15,49.4,5.67,969.42,90.65,54.97,969.42,90.65,54.97,2,308.2469,1
21,4.5,6.82,6.81,1.88,1.79,1.14,44,6.19,898.29,89.98,55.58,898.29,89.98,55.58,2,328.4577,1
21,4.53,7.13,7.06,2.72,2.57,1.96,43.4,6.86,789.49,88.76,54.13,789.49,88.76,54.13,2,406.9745,1
21,4.87,7.93,7.9,1.26,1.19,0.5,40.9,7.24,765.93,88.45,55.45,765.93,88.45,55.45,2,308.7051,1
21,4.75,8.05,7.75,1.69,1.6,1.01,44.7,6.66,794.09,88.82,52.91,794.09,88.82,52.91,2,223.8564,1
21,4.94,8.17,8.08,1.78,1.7,1.08,42.1,7.2,744.74,88.16,53.62,744.74,88.16,53.62,2,113.5204,1
21,4.62,7.84,7.41,3.2,2.96,2.39,37.7,5.76,900.45,90,51.89,900.45,90,51.89,2,202.4131,1
21,4.61,7.4,7.28,1.38,1.22,0.66,42.5,5.95,889.81,89.9,52.96,889.81,89.9,52.96,2,247.7834,1
21,4.5,7.33,7.14,2.41,2.21,1.4,30.6,6.92,747.96,88.21,51.75,747.96,88.21,51.75,2,186.0543,1
21,4.74,7.83,7.74,1.59,1.44,0.82,39.7,7.28,720.7,87.82,52.45,720.7,87.82,52.45,2,194.1099,1
21,5,8.97,8.37,3,2.59,2.15,38.5,1.41,3734.81,92.67,52.82,3930.13,97.52,55.58,2,256.8223,1
21,4.97,8.55,8.45,1.44,1.29,0.58,35.5,1.15,4655.2,97.9,53.72,4655.2,97.9,53.72,2,249.8199,1
21,5.21,9.22,9.08,1.76,1.32,0.89,33.9,1.87,3151.06,96.92,58.82,3151.06,96.92,58.82,2,196.4264,1
21,5.26,9.49,9.21,1.61,1.42,0.8,33.5,2.31,2523.65,96.19,58.3,2523.65,96.19,58.3,2,259.0148,1
21,5.92,12.5,11.84,2.42,2.21,1.36,32.5,9.18,621.22,84.74,57.05,633.09,86.36,58.14,2,287.4931,1
21,6.25,15.73,14.73,1.08,0.8,-0.13,33.4,8.8,658.85,85.4,57.97,671.49,87.04,59.08,2,550.5784,1
21,5.67,16.22,13.4,1.58,1.45,0.82,33.5,11.87,468.86,81.13,55.64,477.89,82.7,56.71,2,493.5682,1
21,6.19,17.77,15.15,1.28,1.1,0.56,33.1,12.06,470.45,81.18,56.75,479.54,82.74,57.84,2,309.2109,1
21,3.94,12.03,9.36,2.36,2.23,1.5,27.5,19.81,197.62,66.4,39.15,197.62,66.4,39.15,2,301.5088,1
23,3.36,5.05,4.7,2.83,0.93,1.62,39.5,40.14,95.37,47.55,41.17,100.58,50.15,43.42,1,6237.8671,1
23,3.49,5.14,4.91,4.42,-0.34,3.08,35.2,40.74,92,46.69,40.23,97.06,49.25,42.44,1,6593.2619,1
23,3.41,5.18,4.84,4.61,2.19,3.18,34,41.33,87.59,45.5,38.77,92.52,48.06,40.95,1,7408.6689,1
23,2.57,4.99,3.61,8.06,3.84,6.43,30.8,47.14,70.67,40.46,35.21,74.67,42.75,37.2,1,7647.3901,1
23,3.36,4.88,4.75,3.83,-15.51,2.14,30.6,48.41,67.89,39.51,34.7,71.82,41.8,36.71,1,8916.8341,1
23,3.1,4.55,4.35,6.14,3.47,4.37,32,50.24,66.04,38.94,34.27,69.59,41.04,36.12,1,5109.0759,1
23,3.3,4.8,4.62,5.93,-9.76,4.19,31.3,50.01,71.23,40.77,35.62,74.69,42.76,37.36,1,3532.5936,1
23,3.94,5.81,5.47,7.43,-7.26,5.97,39.5,46.56,89.05,46.36,41.46,92.09,47.94,42.88,1,4942.569,1
23,4.04,5.99,5.68,2.43,-0.06,1.22,51.5,46.19,91.27,46.97,42.16,94.31,48.54,43.56,1,5070.121,1
23,5.21,8.19,7.64,2.66,-11.22,1.52,59.3,41.04,113.7,52.46,46.66,116.72,53.86,47.9,1,4419.9068,1
23,5.01,9.08,7.52,3.32,0.17,2.14,63.3,38.61,127.33,55.71,49.16,128.56,56.25,49.64,1,4249.9178,1
23,5.6,10.3,8.77,4.56,2.33,3.34,63.2,38.71,128.01,54.68,49.56,134.12,57.29,51.92,2,2058.2716,1
23,6.5,12.39,10.8,1.49,-7.03,0.28,67.5,36.23,143.95,57.51,52.15,150.3,60.05,54.45,2,3107.7217,1
23,6.1,11.45,10.13,2.86,1.49,1.65,68.3,36.86,137.75,56.46,50.78,143.99,59.01,53.08,2,4326.849,1
23,6.27,11.86,10.6,3.22,1.35,1.95,67,36.38,138.63,56.41,50.44,145.73,59.31,53.02,2,3742.869,1
23,5.76,10.87,9.6,4.83,3.97,3.57,67.8,38.23,133.15,56.37,50.91,136.2,57.66,52.07,2,3056.3213,1
23,5.84,9.88,9.44,2.38,-4.37,1.04,63.8,38.29,131.91,56.15,50.5,134.95,57.44,51.67,2,3214.1988,1
23,5.75,9.61,9.34,3.14,2.35,1.77,64.9,38.77,127.94,55.4,49.61,130.97,56.7,50.78,2,2894.0713,1
23,5.65,10.27,9.29,3.08,2.11,1.76,66.8,37.6,130.91,55.57,49.22,135.58,57.55,50.97,2,4466.1075,1
23,5.7,10.08,9.39,5.06,-1.37,3.71,67.1,38.72,121.27,52.99,46.96,128.83,56.3,49.89,2,5486.4886,1
23,6.19,11.09,10.46,2,-4.84,0.64,69.6,37.65,129.5,54.67,48.76,136.9,57.79,51.54,2,6803.1846,1
23,5.59,10.19,9.22,3.39,2.29,2.12,75.7,37.77,126.21,54.07,47.67,133.4,57.16,50.39,2,8720.2461,1
23,5.12,9.21,8.12,3.79,-1.33,2.52,77.1,37.36,109.1,46.79,40.76,133.18,57.11,49.75,2,8613.1518,1
23,4.45,7.71,6.73,5.82,5.26,4.56,78.6,39.82,102.29,46.02,40.73,122.28,55.01,48.69,2,8662.4477,1
23,4.45,7.61,6.77,1.79,0.29,0.51,78.5,40.16,100.46,45.81,40.34,119.3,54.4,47.91,2,10923.7444,1
23,4.04,6.45,6.06,4,2.89,2.67,75.3,42.23,97.88,47.83,41.33,104.62,51.13,44.18,2,8993.1717,1
23,3.66,5.82,5.45,4.57,3.24,3.12,68.7,44.01,84.89,44.03,37.36,92.82,48.14,40.85,2,9928.7553,1
