Company/Bond,Net Debt/EBITDA,Total Debt/EBIT,Net Debt/EBIT,EBITDA to Interest Expense,EBITDA-CapEx/Interest Expense,EBIT to Interest Expense,Interest Expense,Common Equity/Total Assets,Long-Term Debt/Equity,Long-Term Debt/Capital,Long-Term Debt/Total Assets,Total Debt/Equity,Total Debt/Capital,Total Debt/Total Assets,Num Rating,Market Cap,Industry
10,0.88,1.76,1.19,23.38,19.19,18.69,16,46.38,46.85,31.51,21.73,48.69,32.75,22.58,1,5256.2823,7
10,0.09,1.02,0.11,30.79,25.93,25.57,14,51.39,31.43,23.7,16.21,32.65,24.61,16.83,1,7434.7181,7
10,-0.12,0.85,-0.15,28.54,23.77,23.15,13,53.03,22.72,17.57,12.05,29.31,22.67,15.54,1,9072.8634,7
10,-0.36,0.55,-0.44,33.69,28.08,28.77,13,53.77,14.66,12.11,7.9,21.03,17.38,11.34,1,8375.6342,7
10,-0.32,1.28,-0.38,43.54,36.54,38.08,13,49.1,43.99,29.45,21.6,49.35,33.05,24.24,1,10626.3998,7
10,-0.48,1.15,-0.56,23.53,19.63,21.17,30,48.54,43.39,29.25,21.15,48.35,32.59,23.57,1,12638.3508,7
10,-0.59,0.85,-0.66,23.89,19.15,21.78,27,54.21,35.7,26.16,19.44,36.48,26.73,19.87,1,15322.5383,7
10,-0.66,0.66,-0.73,38.13,35.54,35.75,24,55.9,31.54,23.86,17.74,32.18,24.35,18.1,1,14447.8229,7
10,-0.85,0.56,-0.92,37.04,32,34.17,24,58.51,24.82,19.4,14.62,27.96,21.85,16.47,1,15102.3252,7
10,-1.04,0.45,-1.12,53.91,46.77,50.23,22,57.21,22.89,18.63,13.18,22.89,18.63,13.18,1,18979.5574,7
10,-0.91,0.44,-0.98,28.91,22.23,26,22,61.95,21.32,17.56,13.31,21.43,17.64,13.37,1,17248.6815,7
10,-0.81,0.43,-0.88,36.43,29.24,33.19,21,61.14,20.9,17.27,12.89,21,17.36,12.96,1,18988.6462,7
10,-0.08,0.48,-0.08,43.48,36.9,39.05,21,56.67,18.77,15.75,10.75,19.16,16.08,10.97,1,21362.2061,7
10,0.04,0.61,0.05,24.33,16.57,19.19,21,56.87,19.1,15.98,10.99,19.5,16.32,11.22,1,15743.3421,7
10,0.17,0.63,0.2,32.95,23,27.7,20,59.13,18.4,15.49,11.02,18.79,15.82,11.25,1,18666.8673,7
10,0.13,0.6,0.15,52.24,32.1,46.71,17,59.46,17.72,15,10.63,18.09,15.32,10.86,1,21803.6366,7
10,0.1,0.65,0.12,43.12,15.57,36.12,17,59.84,16.79,14.38,10.13,16.79,14.38,10.13,2,13631.2668,7
10,4.67,6.12,5.72,2.27,0.63,1.09,128,34.57,46.36,21.37,16.18,116.99,53.92,40.83,2,2942.5289,7
10,4.29,6.24,5.41,7.93,6.23,5.97,97,35.23,42.66,19.68,15.17,116.8,53.88,41.53,2,3432.645,7
10,4.07,5.89,5.49,4.53,3.47,3.34,172,38.84,88.51,45.39,34.65,95.02,48.72,37.19,2,9035.705,7
10,2.71,4.43,3.87,5.46,4.4,3.79,164,46.94,54.04,33.74,25.51,60.14,37.56,28.39,2,17366.65,7
10,1.96,3.24,2.7,4.56,3.54,3.33,209,48.5,47.17,30.46,23.04,54.86,35.42,26.79,2,21690.662,7
10,1.22,1.84,1.6,9.56,8.61,8.06,155,54.11,36.26,26.38,19.75,37.44,27.24,20.39,1,26080.95,7
10,1.14,1.72,1.49,7.07,5.86,5.33,137,54.32,35.96,26.37,19.66,36.35,26.66,19.87,1,18557.46,7
10,1.05,1.65,1.33,8.61,7.08,6.95,132,53.8,35.27,25.69,19.11,37.3,27.17,20.21,1,24951.872,7
10,0.85,1.25,1.04,11.3,8.01,9.31,113,54.29,30.72,23.43,16.81,31.13,23.74,17.03,1,36493.174,7
10,0.83,1.34,1.04,11.39,8.47,9.04,92,55.68,28.9,22.42,16.22,28.9,22.42,16.22,1,30361.212,7
10,0.7,1.18,0.85,15.77,12.19,13.3,93,55.97,27.88,21.74,15.74,28.25,22.03,15.95,1,28961.016,7
10,0.55,1.62,0.67,13.38,9.94,11.36,120,52.14,38.85,27.57,20.45,40.93,29.04,21.54,1,18267.536,7
10,0.49,1.58,0.59,9.97,6.76,8.19,125,51.79,37.31,26.78,19.51,39.32,28.22,20.56,1,21064.806,7
10,0.56,1.48,0.67,10.54,6.25,8.75,116,52.95,35.94,26.07,19.22,37.83,27.45,20.24,1,20863.899,7
10,0.67,1.71,0.82,9.49,3.4,6.94,101,52.25,36.81,26.54,19.44,38.7,27.9,20.44,1,18476.58,7
10,0.82,2.14,1.04,10.81,4.14,8.27,98,51.44,41.77,29.39,21.7,42.13,29.64,21.88,1,16999.86,7
10,0.93,2.22,1.21,14.28,2.76,10.38,69,51.56,39.2,28.12,20.43,39.39,28.26,20.52,1,21050.145,7
10,1.12,2.57,1.54,10.89,2.95,7.45,85,52.97,39.28,28.17,21.02,39.45,28.29,21.11,1,16630.9,7
10,1.3,2.93,1.85,11.9,1.03,7.16,61,52.12,41.06,29.07,21.64,41.28,29.22,21.76,1,12947.214,7
10,1.51,3.27,2.28,14.42,1.96,8.77,57,53,39.68,28.36,21.26,39.93,28.53,21.39,1,15949.216,7
10,1.54,3.91,2.5,15.66,0.11,8.66,47,51.4,40.74,28.88,21.18,41.06,29.11,21.34,1,15934.695,7
10,1.97,5.03,3.54,12.87,-0.26,5.6,45,51.56,41.96,29.48,21.89,42.32,29.74,22.08,1,13750.518,7
10,2.09,5.65,4.1,11,0.17,4.24,50,51.11,40.89,28.93,21.14,41.32,29.24,21.37,1,14033.796,7
10,2.48,6.77,5.23,12.6,1.89,6.23,53,51.2,42.62,29.8,22.08,43.05,30.09,22.3,1,12219.081,7
10,2.68,8.05,6.12,11.23,0.08,4.79,53,50.51,42.54,29.38,21.75,44.81,30.95,22.91,1,9148.468,7
10,3.2,8.92,7.4,10.81,0.34,4.45,53,49.98,45.96,30.97,23.28,48.39,32.61,24.51,1,10014.356,7
37,2.0019,16.2852,16.2216,25.21253641,16.19310997,20.83192346,126.3117096,69.7205,23.9684,19.3343,16.7109,23.9684,19.3343,16.7109,2,960.344,7
37,2.2727,16.2496,12.6566,25.21253641,16.19310997,20.83192346,126.3117096,63.793,38.8038,27.9559,24.7541,38.8038,27.9559,24.7541,2,958.0753,7
37,2.3562,11.2077,10.065,25.21253641,16.19310997,20.83192346,126.3117096,60.7629,38.6773,27.8901,23.5015,38.6773,27.8901,23.5015,2,1025.5145,7
37,1.6003,5.8763,4.4951,25.21253641,16.19310997,20.83192346,126.3117096,62.0257,35.1867,26.0282,21.8248,35.1867,26.0282,21.8248,2,753.6206,7
37,1.7954,4.6885,4.6071,25.21253641,16.19310997,20.83192346,126.3117096,60.7747,34.923,25.8837,21.2244,34.923,25.8837,21.2244,2,823.2676,7
37,1.895,4.7459,4.7388,25.21253641,16.19310997,20.83192346,126.3117096,58.701,41.0683,29.1123,24.1075,41.0683,29.1123,24.1075,2,894.8229,7
37,1.9273,4.5169,4.4952,25.21253641,16.19310997,20.83192346,126.3117096,57.2189,45.5652,31.3023,26.0719,45.5652,31.3023,26.0719,2,570.3886,7
37,2.2169,5.6291,5.6229,25.21253641,16.19310997,20.83192346,126.3117096,55.5975,50.5356,33.5705,28.0965,50.5356,33.5705,28.0965,2,254.4127,7
37,2.7518,8.0223,8.0172,25.21253641,16.19310997,20.83192346,126.3117096,53.4782,59.8334,37.4349,31.9979,59.8334,37.4349,31.9979,2,267.3082,7
37,3.3553,12.804,12.7847,25.21253641,16.19310997,20.83192346,126.3117096,52.5914,65.7607,39.6721,34.5845,65.7607,39.6721,34.5845,3,277.7506,7
37,2.414745814,11.33411145,9.101455563,25.21253641,16.19310997,20.83192346,126.3117096,50.6174,84.2642,45.7301,42.6523,84.2642,45.7301,42.6523,3,75.6273,7
37,2.414745814,11.33411145,9.101455563,25.21253641,16.19310997,20.83192346,126.3117096,51.7426,81.6799,44.9581,42.2633,81.6799,44.9581,42.2633,3,75.0512,7
37,2.414745814,11.33411145,9.101455563,25.21253641,16.19310997,20.83192346,126.3117096,51.5851,83.2354,45.4254,42.9371,83.2354,45.4254,42.9371,3,48.1882,7
37,2.414745814,11.33411145,9.101455563,25.21253641,16.19310997,20.83192346,126.3117096,51.1399,85.976,46.2296,43.968,85.976,46.2296,43.968,3,87.3845,7
37,9.5505,11.33411145,9.101455563,25.21253641,16.19310997,20.83192346,126.3117096,51.0843,87.1915,46.5788,44.5412,87.1915,46.5788,44.5412,3,140.6363,7
51,2.2374,3.6431,3.4931,5.1728,16.19310997,3.037,81,41.4225,49.6735,29.2475,23.0005,69.8383,41.1205,32.3375,1,7769.0998,7
51,2.4139,4.2287,3.9229,5.4304,16.19310997,3.1899,79,40.9815,49.4406,28.7011,22.6497,72.2605,41.9484,33.104,1,7541.4373,7
51,2.8091,4.9852,4.7502,5.25,16.19310997,2.9079,76,38.4111,49.1421,28.2332,22.4282,74.0578,42.5478,33.7996,1,7959.375,7
51,2.5303,4.679,4.4942,6.1268,16.19310997,3.2113,71,42.933,43.1199,27.037,21.5773,59.4845,37.298,29.7662,1,8768.7374,7
51,2.7544,5.2503,5.0021,8.7,16.19310997,4.68,50,41.2416,44.4283,26.9567,21.4263,64.8138,39.3255,31.2576,1,8538.7248,7
51,3.0437,5.99,5.6969,7.1695,16.19310997,3.7458,59,40.3924,41.4485,24.3049,19.6347,70.5354,41.3611,33.4136,1,7811.9127,7
51,3.0729,6.4066,6.1422,6.0896,16.19310997,2.5075,67,37.6025,41.7532,24.0616,18.8104,73.5266,42.372,33.1247,1,8174.8873,7
51,3.1681,6.9122,6.5985,5.3973,16.19310997,2.3836,73,37.5411,44.4927,25.4639,19.9635,74.7287,42.7684,33.5301,1,7693.7499,7
51,3.2842,7.466,7.1099,5.4304,16.19310997,2.5443,79,37.1631,43.986,24.8628,19.54,76.9148,43.4756,34.168,1,7891.2002,7
51,3.2542,7.6424,7.2551,5.3291,16.19310997,2.5063,79,36.771,44.2703,24.9885,19.5147,77.1631,43.5548,34.0141,1,7440.875,7
51,3.1897,7.0247,6.7259,5.8734,16.19310997,3,79,37.4301,48.6162,27.4948,21.6523,76.8192,43.4451,34.2132,1,8394.2251,7
51,3.3929,7.1192,6.974,5.5455,16.19310997,2.7403,77,36.6246,48.5518,26.7896,21.1564,81.234,44.8227,35.3977,1,8457.2249,7
