Company/Bond,Net Debt/EBITDA,Total Debt/EBIT,Net Debt/EBIT,EBITDA to Interest Expense,EBITDA-CapEx/Interest Expense,EBIT to Interest Expense,Interest Expense,Common Equity/Total Assets,Long-Term Debt/Equity,Long-Term Debt/Capital,Long-Term Debt/Total Assets,Total Debt/Equity,Total Debt/Capital,Total Debt/Total Assets,Num Rating 1 Q Ahead,Market Cap,Industry_Number
1,4.65,25.02,22.76,4.32,2.34,1.74,139,34.66,53.58,34.46,23.43,55.48,35.68,24.26,1,12368.549,7
1,3.05,8.75,7.28,6.73,2.98,3.58,118,34.5,51.75,33.68,22.5,53.64,34.91,23.32,1,15728.9796,7
1,2.77,5.87,5.31,8.55,5.36,5.3,111,36.49,46.19,30.69,21.08,50.5,33.55,23.04,1,18780.8169,7
1,2.42,4.96,4.3,6.17,3.82,3.87,163,37.61,45.29,30.55,21.16,48.26,32.55,22.54,1,16876.6848,7
1,2.24,4.48,3.84,6.5,3.3,3.49,125,37.54,47.36,31.38,21.86,50.93,33.74,23.51,1,10185.1225,7
1,2.49,6.25,4.95,1.71,-1.86,-1.23,125,34.37,50.25,32.52,21.54,54.5,35.27,23.36,1,9207.1644,7
1,3.02,8.42,6.91,4.99,2.36,1.99,123,34.61,48.89,31.49,21.17,55.28,35.6,23.94,1,10687.3,7
1,3.65,14.33,11.76,4.09,1.44,1.13,123,34.44,50.53,32.31,21.64,56.41,36.07,24.16,1,9335.3,7
1,5.02,66.14,56.19,2.26,-0.15,-0.69,124,33.63,49.54,31.66,20.78,56.51,36.11,23.7,1,9450.1,7
1,3.6,18.67,14.73,4.48,0.98,1.46,120,32.71,50.3,32.78,20.68,53.43,34.83,21.97,1,9263.4,7
1,3.68,16.23,13.4,5.94,3.2,2.8,115,33.33,46.17,30.14,19.31,53.21,34.73,22.25,2,9111.1,7
1,3.82,19.86,17,3.16,0.61,0.08,118,33.1,48.56,31.8,19.97,52.71,34.52,21.68,2,8363.7,7
1,3.46,12.22,10.73,4.85,2.06,1.63,108,33.49,48.1,31.52,19.96,52.6,34.47,21.83,2,8685.1,7
1,202.41,-1000000,-1000000,-13.8,-14.47,-16.93,112,29.48,56.26,34.83,21.28,61.52,38.09,23.28,2,11384.8,7
1,-1000000,-1000000,-1000000,1.76,0.02,-1.08,120,31.84,52.94,34.4,21.37,53.9,35.02,21.76,2,15072.1,7
1,-1000000,-1000000,-1000000,6.35,3.41,3.02,105,32.01,51.76,33.44,20.96,54.77,35.39,22.18,2,15925.3,7
1,36.41,-1000000,-1000000,6.55,3.87,3.8,126,29.88,58.12,36.47,23.7,59.39,37.26,24.21,2,18948.7,7
1,2.92,8.7,6.86,5.62,1.58,2.87,122,29.44,59.27,37.08,23.47,59.84,37.44,23.69,2,19211.1,7
1,2.47,5.08,4.39,7.48,4.85,4.84,122,28.77,62.93,38.44,24.4,63.69,38.91,24.7,2,15792.2,7
1,2.37,4.81,4.1,5.85,3.33,3.27,124,30.09,59.52,37.19,23.81,60.04,37.52,24.02,2,13631,7
1,2.55,5.59,4.54,5.14,2.66,2.55,123,30.86,61.88,37.93,24.85,63.15,38.71,25.36,2,12654.8,7
1,3.22,9.59,7.57,-0.32,-3.07,-2.81,129,29.4,64,38.93,24.76,64.42,39.18,24.92,2,12931.3,7
1,4.2,16.19,13.72,4.02,1.86,1.59,127,30.22,57.5,35.24,22.85,63.15,38.71,25.09,2,12596.5,7
2,7.84,380.88,374.26,1.29,0.12,-1.26,27.8,33.26,98.84,49.34,36.51,100.3,50.07,37.05,1,3730.2344,0
2,6.46,54.06,52.99,3.69,-0.31,1.14,37.6,32.47,105.57,50.96,38.09,107.16,51.73,38.66,1,4317.7434,0
2,6.56,42.6,41.78,2.89,-0.49,0.81,41.8,30.95,121.6,54.48,41.66,123.22,55.2,42.22,1,4567.6792,0
2,6.32,35.8,32.58,2.79,0.41,0.86,49.6,28.8,142.69,57.82,45.57,146.8,59.48,46.88,1,3547.1971,0
2,5.78,20.05,19.62,2.6,0.03,0.73,58.5,24.73,159.39,59.29,44.03,168.81,62.8,46.63,1,3496.1454,0
2,5.13,14.89,14.73,3.24,1.38,1.52,61.5,25.4,154.36,58.53,43.77,163.74,62.08,46.43,1,3332.7816,0
2,9.02,25.28,25.07,2.39,0.97,0.83,73.1,18.59,262.39,70.45,53.65,272.42,73.15,55.7,1,3521.6368,0
