Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
19970930,103,0.316,0.648,0.171,0.366,2.407,0.291,0.045,0.46,0.614,0.545,1.589,4.403,0.337,1.206,147.5,2
19971231,103,0.297,0.678,0.246,0.352,4.942,0.242,0.053,0.393,0.635,0.533,1.743,3.977,0.333,0.777,154.676,2
19980331,103,0.345,0.669,0.17,0.371,3.361,0.301,0.053,0.528,0.637,0.55,1.751,3.579,0.299,0.957,156.065,2
19980630,103,0.362,0.66,0.183,0.371,3.562,0.317,0.053,0.566,0.641,0.55,1.785,3.303,0.279,0.915,161.671,2
19980930,103,0.346,0.641,0.167,0.358,3.492,0.305,0.053,0.519,0.635,0.535,1.737,3.364,0.258,0.883,165.656,2
19981231,103,0.429,0.473,0.305,0.322,2.676,0.478,0.048,0.715,0.611,0.503,1.574,3.516,0.614,1.293,120.986,2
19990331,103,0.397,0.551,0.16,0.344,2.943,0.398,0.048,0.628,0.623,0.52,1.654,3.636,0.307,1.074,152.887,2
19990630,103,0.409,0.526,0.145,0.34,2.912,0.427,0.048,0.653,0.619,0.514,1.622,3.713,0.326,1.168,155.826,2
19990930,103,0.417,0.519,0.142,0.343,3.605,0.448,0.048,0.679,0.615,0.514,1.598,2.891,0.337,1.246,157.254,2
19991231,103,0.4,0.535,0.267,0.348,3.526,0.426,-0.018,0.634,0.61,0.508,1.565,2.871,0.416,1.133,125.311,2
20000331,103,0.418,0.534,0.136,0.357,4.959,0.456,-0.018,0.682,0.611,0.514,1.572,1.877,0.309,1.247,172.552,2
20000630,103,0.43,0.537,0.137,0.368,5.737,0.483,-0.018,0.718,0.609,0.515,1.56,1.49,0.336,1.295,171.096,2
20000930,103,0.444,0.521,0.141,0.371,4.691,0.523,-0.018,0.761,0.604,0.511,1.527,1.952,0.366,1.402,169.318,2
20001231,103,0.456,0.5,0.23,0.371,4.282,0.568,0.06,0.781,0.596,0.505,1.474,2.208,0.696,1.647,154.029,2
20010331,103,0.456,0.513,0.118,0.378,4.391,0.561,0.06,0.791,0.599,0.509,1.494,2.17,0.424,1.574,162.963,2
20010630,103,0.458,0.499,0.111,0.372,4.271,0.572,0.06,0.792,0.596,0.504,1.477,2.202,0.435,1.648,161.24,2
20010930,103,0.455,0.506,0.103,0.373,6.589,0.56,0.06,0.782,0.598,0.506,1.489,1.162,0.464,1.607,156.03,2
20011231,103,0.406,0.478,0.211,0.341,5.972,0.504,0.009,0.651,0.576,0.471,1.359,1.203,0.692,1.454,132.399,2
20020331,103,0.427,0.495,0.095,0.356,6.698,0.522,0.009,0.7,0.588,0.487,1.43,1.243,0.507,1.525,148.786,2
20020630,103,0.409,0.499,0.091,0.35,6.591,0.488,0.009,0.647,0.586,0.48,1.415,1.465,0.523,1.451,146.085,2
20020930,103,0.394,0.474,0.093,0.333,4.007,0.483,0.009,0.607,0.574,0.462,1.348,3.128,0.523,1.478,145.424,2
20021231,103,0.446,0.518,0.249,0.346,3.929,0.473,0.069,0.805,0.63,0.505,1.7,3.513,0.637,1.408,131.4,2
20030331,103,0.42,0.498,0.105,0.343,4.077,0.483,0.069,0.696,0.601,0.483,1.503,3.405,0.472,1.478,139.375,2
20030630,103,0.436,0.502,0.114,0.347,4.198,0.493,0.069,0.757,0.611,0.493,1.569,3.238,0.44,1.514,135.764,2
