Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
19970630,78,0.193,0.166,0.119,0.09,0.374,0.187,0.084,0.292,0.561,0.387,1.29,9.125,0.553,1.552,44.28,1
19970930,78,0.178,0.153,0.11,0.08,0.344,0.161,0.084,0.256,0.573,0.395,1.343,10.209,0.479,1.443,45.348,1
19971231,78,0.104,0.297,0.123,0.139,0.832,0.084,-0.084,0.132,0.581,0.454,1.387,12.392,0.342,1.291,50.751,1
19980331,78,0.136,0.322,0.115,0.155,0.814,0.113,-0.084,0.178,0.583,0.434,1.396,15.331,0.325,1.308,65.469,1
19980630,78,0.104,0.322,0.118,0.156,0.808,0.089,-0.084,0.131,0.565,0.426,1.3,16.287,0.32,1.323,70.221,1
19980930,78,0.095,0.311,0.126,0.153,0.804,0.084,-0.084,0.118,0.555,0.43,1.25,16.419,0.323,1.34,75.11,1
19981231,78,0.081,0.313,0.15,0.159,0.892,0.077,0.062,0.097,0.535,0.43,1.149,13.494,0.37,1.388,69.42,1
19990331,78,0.105,0.303,0.144,0.158,0.826,0.103,0.062,0.129,0.532,0.415,1.135,13.684,0.359,1.425,77.027,1
19990630,78,0.119,0.308,0.153,0.166,0.856,0.122,0.062,0.147,0.525,0.417,1.103,15.325,0.39,1.471,75.653,1
19990930,78,0.131,0.304,0.16,0.169,0.868,0.141,0.062,0.164,0.516,0.418,1.067,15.853,0.416,1.528,74.16,1
19991231,78,0.132,0.242,0.152,0.141,0.726,0.155,0.183,0.163,0.494,0.403,0.977,17.179,0.402,1.595,67.313,1
20000331,78,0.136,0.301,0.157,0.173,0.858,0.155,0.183,0.171,0.505,0.414,1.019,17.57,0.414,1.562,70.939,1
20000630,78,0.131,0.307,0.156,0.176,0.871,0.151,0.183,0.162,0.501,0.413,1.004,16.344,0.4,1.55,70.823,1
20000930,78,0.126,0.314,0.153,0.18,0.89,0.146,0.183,0.154,0.498,0.412,0.992,15.794,0.389,1.537,70.885,1
20001231,78,0.111,0.237,0.167,0.144,0.717,0.147,0.214,0.132,0.459,0.367,0.847,15.499,0.465,1.665,65.863,1
20010331,78,0.129,0.288,0.164,0.174,0.844,0.163,0.214,0.157,0.475,0.389,0.906,16.052,0.435,1.635,71.49,1
20010630,78,0.136,0.263,0.167,0.163,0.805,0.18,0.214,0.166,0.465,0.38,0.871,17.846,0.46,1.713,70.887,1
20010930,78,0.143,0.251,0.17,0.158,0.822,0.196,0.214,0.176,0.46,0.374,0.851,18.284,0.489,1.777,70.835,1
20011231,78,0.151,0.199,0.177,0.124,0.745,0.2,0.168,0.187,0.471,0.353,0.848,17.172,0.501,1.779,65.312,1
20020331,78,0.149,0.244,0.173,0.152,0.994,0.198,0.168,0.18,0.47,0.378,0.886,16.502,0.497,1.761,68.741,1
20020630,78,0.147,0.242,0.176,0.15,1.025,0.193,0.168,0.175,0.472,0.374,0.892,16.166,0.499,1.735,67.484,1
20020930,78,0.144,0.217,0.179,0.136,0.899,0.194,0.168,0.168,0.464,0.36,0.865,18.569,0.496,1.749,65.777,1
20021231,78,0.172,0.177,0.17,0.115,0.734,0.242,0.271,0.218,0.461,0.344,0.825,19.904,0.634,1.926,62.228,1
20030331,78,0.145,0.189,0.181,0.121,0.727,0.206,0.271,0.17,0.451,0.344,0.821,22.981,0.561,1.823,62.686,1
20030630,78,0.14,0.175,0.183,0.114,0.673,0.205,0.271,0.163,0.442,0.335,0.793,24.1,0.59,1.855,60.95,1
20030930,78,0.135,0.175,0.182,0.114,0.671,0.198,0.271,0.157,0.44,0.333,0.786,24.308,0.62,1.851,59.734,1
20031231,78,0.111,0.159,0.208,0.102,0.61,0.167,0.214,0.129,0.429,0.307,0.731,21.935,0.711,1.862,59.339,1
20040331,78,0.115,0.153,0.196,0.1,0.55,0.179,0.214,0.13,0.42,0.308,0.723,30.139,0.672,1.89,58.481,1
20040630,78,0.11,0.135,0.198,0.09,0.489,0.179,0.214,0.124,0.409,0.297,0.692,35.589,0.697,1.936,58.021,1
20040930,78,0.142,0.187,0.204,0.121,0.715,0.208,0.214,0.166,0.442,0.334,0.792,32.715,0.642,1.851,59.858,1
20041231,78,0.216,0.319,0.223,0.195,1.456,0.255,0.121,0.285,0.52,0.418,1.061,19.552,0.507,1.63,63.288,1
20050331,78,0.185,0.281,0.213,0.176,1.139,0.236,0.121,0.229,0.49,0.393,0.962,18.483,0.532,1.688,62.8,1
20050630,78,0.199,0.323,0.218,0.198,1.298,0.241,0.121,0.251,0.508,0.414,1.032,15.466,0.498,1.62,63.582,1
20050930,78,0.185,0.311,0.221,0.193,1.2,0.232,0.121,0.23,0.494,0.403,0.977,14.96,0.505,1.638,63.242,1
20051231,78,0.161,0.221,0.219,0.143,0.839,0.229,0.232,0.197,0.455,0.355,0.823,15.571,0.583,1.831,61.068,1
20060331,78,0.165,0.255,0.224,0.164,0.927,0.23,0.232,0.199,0.462,0.371,0.858,18.757,0.554,1.765,61.458,2
