Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
20070930,19,0.378,0.416,0.325,0.268,1.999,0.408,0.134,0.606,0.598,0.443,1.489,5.852,1.246,1.561,138.408,1
20071231,19,0.293,0.42,0.41,0.24,1.417,0.281,0.202,0.412,0.596,0.422,1.478,7.731,0.947,1.197,124.076,1
20080331,19,0.32,0.412,0.374,0.247,1.617,0.323,0.202,0.47,0.593,0.425,1.458,8.559,1.071,1.353,136.404,1
20080630,19,0.31,0.427,0.382,0.25,1.699,0.304,0.202,0.448,0.596,0.431,1.477,9.338,1.049,1.313,133.641,1
20080930,19,0.321,0.406,0.36,0.246,1.627,0.33,0.202,0.472,0.589,0.423,1.432,11.063,1.219,1.485,132.477,1
20081231,19,0.35,0.358,0.251,0.228,1.287,0.38,0.214,0.535,0.586,0.403,1.414,13.285,1.937,2.2,101.49,1
20090331,19,0.339,0.37,0.277,0.237,1.573,0.378,0.214,0.511,0.576,0.406,1.353,13.599,1.73,1.996,109.122,1
20090630,19,0.327,0.335,0.255,0.221,1.289,0.39,0.214,0.483,0.555,0.382,1.241,17.441,1.929,2.2,94.729,1
20090930,19,0.323,0.332,0.252,0.219,1.214,0.386,0.214,0.472,0.553,0.38,1.224,21.286,1.856,2.114,78.698,1
20091231,19,0.293,0.304,0.227,0.205,1.076,0.378,0.251,0.412,0.523,0.352,1.093,26.731,1.987,2.211,63.865,1
20100331,19,0.298,0.308,0.256,0.209,1.015,0.386,0.251,0.421,0.524,0.357,1.094,32.017,1.819,2.057,50.508,1
20100630,19,0.292,0.304,0.255,0.208,1.005,0.388,0.251,0.411,0.516,0.352,1.058,34.89,1.837,2.062,40.202,1
20100930,19,0.289,0.3,0.243,0.208,0.993,0.394,0.251,0.404,0.507,0.347,1.025,37.172,1.979,2.196,30.296,1
20101231,19,0.254,0.26,0.245,0.175,0.791,0.345,0.291,0.338,0.497,0.321,0.982,40.105,1.791,1.97,15.674,1
20110331,19,0.27,0.279,0.194,0.193,0.862,0.377,0.291,0.368,0.496,0.332,0.977,41.919,1.899,2.1,2.289,1
20110630,19,0.261,0.269,0.169,0.184,0.799,0.361,0.291,0.35,0.494,0.328,0.97,43.986,1.851,2.049,15.674,1
20110930,19,0.25,0.257,0.148,0.175,0.74,0.347,0.291,0.33,0.49,0.322,0.954,45.779,1.802,1.992,15.674,1
20111231,19,0.253,0.258,0.228,0.167,0.724,0.314,0.283,0.335,0.519,0.337,1.072,46.752,1.791,1.969,0,1
20120331,19,0.249,0.256,0.155,0.171,0.702,0.332,0.283,0.328,0.499,0.327,0.989,45.224,1.717,1.909,0,1
20120630,19,0.249,0.257,0.157,0.17,0.755,0.329,0.283,0.327,0.501,0.326,0.996,39.364,1.613,1.808,0,1
20120930,19,0.267,0.281,0.166,0.178,0.949,0.315,0.283,0.356,0.535,0.346,1.144,31.064,1.369,1.57,0,1
20121231,19,0.325,0.366,0.29,0.206,1.349,0.295,0.312,0.469,0.62,0.413,1.634,24.676,0.95,1.15,0,1
20130331,19,0.304,0.343,0.172,0.201,1.609,0.302,0.312,0.423,0.591,0.39,1.441,17.042,1.042,1.251,0,1
20130630,19,0.32,0.365,0.18,0.207,1.855,0.295,0.312,0.451,0.614,0.41,1.594,13.884,0.976,1.184,0,1
20130930,19,0.316,0.36,0.177,0.205,1.754,0.295,0.312,0.442,0.611,0.408,1.57,14.888,1.015,1.222,0,1
20131231,19,0.344,0.36,0.164,0.217,1.876,0.342,0.152,0.524,0.605,0.419,1.541,15.819,1.4,1.521,0,1
20140331,19,0.321,0.345,0.132,0.21,1.671,0.332,0.152,0.46,0.587,0.403,1.427,16.502,1.297,1.477,0,1
20140630,19,0.325,0.344,0.123,0.218,1.758,0.359,0.152,0.473,0.572,0.403,1.343,16.663,1.42,1.599,0,1
20140930,19,0.328,0.344,0.115,0.226,1.819,0.386,0.152,0.488,0.559,0.404,1.27,16.522,1.528,1.706,0,1
19950331,25,0.31,0.395,0.293,0.157,1.234,0.169,0,0.449,0.726,0.71,2.653,6.718,0.55,1.526,29.135,2
19950630,25,0.276,0.283,0.308,0.116,1.16,0.162,0.008,0.382,0.702,0.68,2.36,8.461,0.562,1.56,27.128,2
19950930,25,0.281,0.357,0.308,0.142,1.001,0.156,0.008,0.391,0.715,0.696,2.508,8.461,0.55,1.524,29.932,1
19951231,25,0.266,0.321,0.317,0.131,0.852,0.155,0.008,0.362,0.701,0.681,2.343,8.461,0.557,1.543,29.907,1
19960331,25,0.262,0.309,0.31,0.129,0.934,0.158,0.008,0.355,0.693,0.672,2.253,8.982,0.569,1.559,29.586,1
19960630,25,0.222,0.31,0.269,0.138,1.18,0.151,0.07,0.285,0.653,0.617,1.881,11.816,0.723,1.616,28.308,1
19960930,25,0.232,0.311,0.285,0.136,1.051,0.152,0.07,0.302,0.665,0.637,1.984,10.62,0.616,1.602,30.804,1
19961231,25,0.226,0.314,0.274,0.139,1.068,0.152,0.07,0.291,0.658,0.626,1.92,11.051,0.611,1.61,32.374,1
19970331,25,0.205,0.294,0.285,0.135,0.986,0.149,0.07,0.258,0.635,0.597,1.74,12.297,0.62,1.643,35.934,1
19970630,25,0.172,0.19,0.287,0.099,0.703,0.158,0.018,0.208,0.568,0.519,1.316,13.731,0.756,1.79,29.411,1
19970930,25,0.182,0.234,0.293,0.116,0.77,0.152,0.018,0.223,0.595,0.551,1.467,15.091,0.655,1.718,35.051,1
19971231,25,0.169,0.22,0.29,0.111,0.587,0.147,0.018,0.203,0.58,0.535,1.381,9.886,0.659,1.739,29.149,1
