Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
19960331,53,0.275,0.383,0.428,0.179,1.132,0.194,0.103,0.4,0.662,0.472,2.067,8.565,0.829,1.44,79.706,2
19960630,53,0.268,0.378,0.435,0.18,1.139,0.195,0.103,0.386,0.652,0.466,1.982,8.695,0.807,1.425,81.696,2
19960930,53,0.258,0.369,0.441,0.179,0.985,0.195,0.103,0.368,0.64,0.456,1.89,6.027,0.784,1.408,62.524,2
19961231,53,0.243,0.296,0.424,0.142,0.831,0.184,0.146,0.345,0.636,0.43,1.876,6.885,0.814,1.455,70.488,2
19970331,53,0.248,0.35,0.446,0.169,0.831,0.189,0.146,0.353,0.635,0.448,1.868,6.885,0.815,1.44,70.488,2
19970630,53,0.24,0.334,0.444,0.162,0.831,0.184,0.146,0.34,0.633,0.442,1.853,6.885,0.822,1.443,70.488,2
19970930,53,0.23,0.322,0.446,0.154,0.799,0.174,0.146,0.322,0.632,0.438,1.853,9.101,0.82,1.43,76.239,2
19971231,53,0.188,0.301,0.416,0.136,0.836,0.135,0.168,0.249,0.632,0.427,1.845,6.96,0.716,1.281,73.524,2
19980331,53,0.204,0.326,0.426,0.152,0.939,0.151,0.168,0.274,0.628,0.43,1.814,9.912,0.799,1.393,84.545,2
19980630,53,0.198,0.348,0.406,0.161,1.001,0.145,0.168,0.263,0.63,0.434,1.816,9.705,0.8,1.399,88.775,1
19980930,53,0.212,0.378,0.401,0.175,1.139,0.155,0.168,0.286,0.634,0.446,1.839,8.412,0.794,1.412,94.942,1
19981231,53,0.229,0.381,0.391,0.187,1.266,0.18,0.067,0.317,0.622,0.453,1.758,5.429,0.722,1.382,84.234,1
19990331,53,0.24,0.416,0.404,0.201,1.565,0.183,0.067,0.336,0.634,0.465,1.837,6.309,0.771,1.416,98.575,1
19990630,53,0.258,0.421,0.415,0.208,1.991,0.2,0.067,0.369,0.634,0.473,1.846,5.287,0.759,1.404,95.154,1
19990930,53,0.263,0.464,0.435,0.227,3.519,0.202,0.067,0.396,0.639,0.504,1.965,3.563,0.745,1.342,94.566,1
19991231,53,0.342,0.518,0.457,0.271,3.246,0.273,0.074,0.649,0.656,0.579,2.376,2.206,0.751,1.329,94.682,2
20000331,53,0.307,0.525,0.458,0.264,5.279,0.237,0.074,0.533,0.652,0.558,2.244,2.288,0.752,1.316,94.206,2
20000630,53,0.322,0.563,0.466,0.283,4.523,0.246,0.074,0.589,0.659,0.583,2.4,2.16,0.735,1.29,98.025,2
20000930,53,0.341,0.573,0.457,0.292,3.534,0.261,0.074,0.642,0.664,0.593,2.459,2.357,0.729,1.3,96.836,2
20001231,53,0.351,0.544,0.379,0.268,3.106,0.255,0.055,0.671,0.68,0.595,2.632,1.598,0.612,1.294,93.897,2
20010331,53,0.355,0.589,0.419,0.294,3.649,0.261,0.055,0.685,0.679,0.605,2.629,1.566,0.668,1.302,104.906,2
20010630,53,0.368,0.579,0.393,0.289,3.937,0.269,0.055,0.726,0.685,0.608,2.703,1.205,0.646,1.324,103.38,2
20010930,53,0.391,0.569,0.364,0.29,3.921,0.289,0.055,0.8,0.69,0.612,2.773,1.237,0.664,1.387,101.452,2
20011231,53,0.467,0.521,0.283,0.264,3.774,0.325,0.128,1.119,0.73,0.632,3.443,0.885,0.864,1.58,85.87,3
20020331,53,0.435,0.552,0.329,0.281,4.206,0.311,0.128,0.972,0.712,0.627,3.124,0.966,0.761,1.479,86.073,3
20020630,53,0.449,0.55,0.323,0.277,4.732,0.313,0.128,1.036,0.722,0.635,3.308,1.23,0.806,1.498,80.894,3
20020930,53,0.451,0.543,0.323,0.267,5.725,0.304,0.128,1.052,0.73,0.638,3.458,1.273,0.789,1.462,76.744,3
20021231,53,0.682,0.832,0.279,0.277,3.938,0.254,0.058,4.594,0.894,0.888,18.069,1.084,0.701,1.284,71.077,3
20030331,53,0.564,0.668,0.319,0.276,10.994,0.284,0.058,1.911,0.82,0.76,6.717,1.404,0.747,1.392,73.43,3
20030630,53,0.661,0.741,0.338,0.295,13.772,0.305,0.058,3.349,0.865,0.837,10.992,1.117,0.837,1.501,78.498,3
20030930,53,0.768,0.826,0.362,0.313,14.052,0.319,0.058,8.927,0.912,0.928,27.976,1.112,0.93,1.598,83.049,3
