Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
19980331,51,0.366,0.458,0.453,0.393,1.363,0.688,0.583,0.577,0.456,0.43,0.839,8.46,1.717,1.822,5.293,2
19980630,51,0.394,0.396,0.485,0.345,1.214,0.729,0.583,0.649,0.471,0.448,0.89,8.473,1.745,1.843,8.409,2
19980930,51,0.395,0.365,0.527,0.321,1.24,0.746,0.583,0.654,0.467,0.446,0.876,7.679,1.669,1.765,10.531,2
19981231,51,0.425,0.426,0.605,0.391,1.859,0.825,0.277,0.739,0.472,0.455,0.895,6.62,1.724,1.768,0.358,2
19990331,51,0.419,0.438,0.6,0.403,2.031,0.829,0.277,0.722,0.465,0.447,0.871,6.62,1.931,1.983,13.153,2
19990630,51,0.417,0.424,0.62,0.392,2.415,0.838,0.277,0.717,0.461,0.443,0.855,6.62,1.696,1.754,10.553,2
19990930,51,0.418,0.412,0.634,0.383,2.833,0.847,0.277,0.717,0.459,0.441,0.847,6.62,1.542,1.604,8.504,2
19991231,51,0.457,0.462,0.475,0.426,4.158,0.846,0.241,0.842,0.499,0.483,0.995,2.532,1.338,1.424,1.782,2
20000331,51,0.434,0.477,0.611,0.444,4.605,0.851,0.241,0.768,0.474,0.457,0.902,2.532,1.301,1.384,5.98,2
20000630,51,0.443,0.491,0.485,0.448,4.698,0.82,0.241,0.796,0.493,0.476,0.971,2.532,1.245,1.294,6.07,2
20000930,51,0.444,0.48,0.488,0.437,4.044,0.816,0.241,0.798,0.494,0.478,0.977,2.532,1.228,1.28,4.414,2
20001231,51,0.42,0.42,0.469,0.384,3.061,0.816,0.249,0.723,0.47,0.449,0.886,3.046,2.147,2.208,3.511,2
20010331,51,0.425,0.472,0.422,0.429,2.967,0.81,0.249,0.741,0.478,0.46,0.915,3.782,1.754,1.82,11.13,2
20010630,51,0.413,0.413,0.418,0.381,2.306,0.831,0.249,0.705,0.459,0.439,0.848,4.792,2.411,2.495,11.638,2
19950331,54,0.252,0.263,0,0.129,1.669,0.194,0.134,0.337,0.634,0.335,1.733,5.162,2.52,2.84,144.326,1
19950630,54,0.247,0.259,0,0.129,1.669,0.197,0.134,0.329,0.625,0.331,1.671,7.188,2.545,2.844,137.51,1
19950930,54,0.214,0.228,0.99,0.118,1.669,0.187,0.134,0.272,0.592,0.309,1.453,3.015,1.656,1.94,139.46,1
19951231,54,0.103,0.108,0.679,0.058,0.39,0.105,0.333,0.114,0.52,0.245,1.084,6.381,1.556,1.773,108.537,1
19960331,54,0.145,0.171,0.774,0.091,0.39,0.143,0.333,0.17,0.543,0.274,1.187,6.381,1.546,1.787,108.537,1
19960630,54,0.102,0.132,0.715,0.072,0.39,0.107,0.333,0.113,0.514,0.255,1.059,6.381,1.519,1.757,108.537,1
19960930,54,0.099,0.132,0.722,0.069,0.316,0.098,0.333,0.11,0.53,0.267,1.127,14.635,1.453,1.678,77.642,1
19961231,54,0.085,0.104,0.71,0.056,0.361,0.088,0.198,0.093,0.513,0.244,1.055,17.232,1.399,1.594,69.925,1
19970331,54,0.107,0.127,0.735,0.068,0.361,0.111,0.198,0.12,0.519,0.256,1.077,22.845,1.432,1.655,75.205,1
19970630,54,0.122,0.152,0.743,0.082,0.361,0.126,0.198,0.139,0.525,0.275,1.103,13.965,1.403,1.615,52.873,1
19970930,54,0.143,0.168,0.753,0.092,0.361,0.148,0.198,0.167,0.53,0.288,1.129,13.222,1.413,1.618,47.157,1
19971231,54,0.171,0.175,0.742,0.098,0.553,0.18,0.183,0.208,0.535,0.305,1.16,15.979,1.492,1.676,72.095,1
19980331,54,0.168,0.192,0.766,0.106,0.553,0.171,0.183,0.203,0.542,0.32,1.19,12.109,1.416,1.608,38.42,1
19980630,54,0.169,0.204,0.763,0.112,0.553,0.171,0.183,0.204,0.542,0.329,1.19,13.453,1.42,1.609,42.297,1
19980930,54,0.19,0.255,0.709,0.133,0.553,0.171,0.183,0.238,0.578,0.365,1.394,12.796,1.252,1.493,54.513,0
19981231,54,0.245,0.347,0.636,0.176,1.098,0.2,0.066,0.337,0.618,0.421,1.683,8.646,1.215,1.541,64.723,0
19990331,54,0.227,0.339,0.649,0.171,1.03,0.188,0.066,0.304,0.61,0.417,1.618,7.684,1.192,1.495,81.506,0
19990630,54,0.231,0.363,0.626,0.182,1.595,0.188,0.066,0.313,0.615,0.432,1.665,4.971,1.167,1.493,98.208,0
19990930,54,0.222,0.386,0.628,0.196,2.252,0.187,0.066,0.298,0.605,0.438,1.591,2.81,1.22,1.555,104.607,0
19991231,54,0.192,0.421,0.644,0.216,2.164,0.168,0.037,0.246,0.586,0.431,1.467,3.264,1.295,1.631,103.722,0
20000331,54,0.194,0.38,0.642,0.2,2.738,0.179,0.037,0.248,0.575,0.416,1.39,1.741,1.31,1.637,115.771,1
20000630,54,0.191,0.368,0.653,0.201,2.516,0.186,0.037,0.24,0.558,0.397,1.29,2.115,1.416,1.73,118.3,1
