Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
20041231,6,0.556,0.675,0.34,0.325,1.64,0.34,0.214,1.048,0.786,0.656,3.674,3.405,1.033,1.033,0,3
20050331,6,0.496,0.603,0.383,0.298,1.616,0.326,0.214,0.778,0.751,0.601,3.019,4.254,0.996,0.996,0,3
20050630,6,0.533,0.631,0.388,0.305,1.501,0.332,0.214,0.96,0.774,0.631,3.432,5.056,0.982,0.982,0,3
19950331,15,0.501,0.664,0.637,0.357,1.577,0.368,0.207,0.789,0.731,0.619,2.756,4.987,0.663,0.714,0,1
19950630,15,0.519,0.701,0.616,0.375,1.571,0.373,0.207,0.882,0.743,0.642,2.931,5,0.634,0.684,0,1
19950930,15,0.514,0.693,0.599,0.37,1.527,0.371,0.207,0.864,0.74,0.639,2.888,5.374,0.637,0.688,0,1
19951231,15,0.484,0.63,0,0.345,1.457,0.37,0.23,0.796,0.717,0.6,2.593,4.872,0.696,0.721,0,1
19960331,15,0.491,0.652,0.603,0.355,1.457,0.369,0.23,0.805,0.723,0.619,2.657,4.872,0.67,0.709,0,1
19960630,15,0.477,0.621,0.617,0.343,1.457,0.37,0.23,0.772,0.711,0.606,2.513,4.872,0.694,0.727,0,1
19960930,15,0.467,0.593,0.633,0.332,1.457,0.372,0.23,0.753,0.702,0.595,2.405,4.872,0.709,0.738,0,1
19961231,15,0.441,0.599,0,0.326,1.462,0.345,0.255,0.679,0.696,0.568,2.329,5.497,0.666,0.692,0,1
19970331,15,0.448,0.586,0.657,0.326,0.529,0.359,0.255,0.701,0.693,0.584,2.305,6.011,0.695,0.725,0,1
19970630,15,0.439,0.585,0.688,0.323,0.639,0.351,0.255,0.676,0.69,0.581,2.271,6.13,0.687,0.719,0,1
19970930,15,0.455,0.645,0.772,0.341,0.858,0.338,0.255,0.74,0.712,0.614,2.578,6.047,0.643,0.677,0,1
19971231,15,0.488,0.722,0.709,0.363,1.516,0.331,0.221,0.876,0.742,0.644,3.133,5.432,0.618,0.659,0,1
19980331,15,0.492,0.691,0.707,0.361,1.287,0.35,0.221,0.883,0.735,0.647,2.977,5.985,0.659,0.7,0,1
19980630,15,0.508,0.696,0.708,0.365,1.487,0.359,0.221,0.948,0.742,0.66,3.118,5.906,0.669,0.713,0,1
19980930,15,0.529,0.673,0.707,0.366,1.469,0.386,0.221,1.027,0.744,0.664,3.154,5.844,0.728,0.777,0,1
19981231,15,0.566,0.661,0.726,0.374,1.487,0.424,0.242,1.138,0.754,0.649,3.193,5.671,0.809,0.862,14.56,1
19990331,15,0.554,0.647,0.725,0.367,1.247,0.42,0.242,1.109,0.747,0.662,3.14,5.686,0.803,0.858,14.56,1
19990630,15,0.555,0.64,0.738,0.366,1.098,0.427,0.242,1.092,0.745,0.657,3.074,5.569,0.814,0.869,14.56,1
19990930,15,0.542,0.636,0.752,0.363,0.976,0.418,0.242,1.014,0.739,0.647,2.946,5.463,0.778,0.833,14.56,1
19991231,15,0.527,0.683,0.666,0.382,1.601,0.401,0.231,0.925,0.736,0.635,2.901,6.307,0.738,0.787,15.813,1
20000331,15,0.529,0.659,0.73,0.373,0.941,0.408,0.231,0.933,0.734,0.646,2.861,4.89,0.711,0.76,15.813,1
20000630,15,0.457,0.634,0.676,0.36,1.241,0.375,0.231,0.819,0.692,0.653,2.902,4.376,0.598,0.641,15.813,1
20000930,15,0.417,0.617,0.67,0.35,1.487,0.353,0.231,0.749,0.67,0.657,2.933,4.088,0.539,0.579,15.813,1
