Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
19980630,31,0.474,0.482,0.043,0.445,-8.29,0.851,0.051,0.92,0.515,0.483,1.061,-5.26,5.385,6.488,112.879,4
19980930,31,0.509,0.513,0.04,0.474,-8.122,0.862,0.051,1.062,0.546,0.515,1.204,-4.665,5.91,7.159,131.375,4
19981231,31,0.762,0.763,0.063,0.674,-1.175,0.853,-0.047,3.523,0.789,0.765,3.749,-11.777,4.603,6.032,84.617,4
19990331,31,0.617,0.617,0.046,0.562,-1.606,0.863,-0.047,1.681,0.651,0.62,1.863,-13.332,5.24,6.723,95.378,4
19990630,31,0.689,0.689,0.052,0.62,-1.515,0.86,-0.047,2.359,0.72,0.692,2.571,-12.89,4.884,6.527,106.232,4
19990930,31,0.766,0.767,0.067,0.673,-1.478,0.846,-0.047,3.615,0.795,0.768,3.867,-11.973,4.628,6.329,122.97,4
19991231,31,0.776,0.776,0.086,0.668,-13.851,0.826,0.01,3.867,0.807,0.78,4.194,-2.06,5.917,8.457,247.435,4
20000331,31,0.776,0.776,0.075,0.672,-11.121,0.834,0.01,3.742,0.806,0.778,4.145,-2.572,4.976,7.204,277.383,4
20000630,31,0.781,0.781,0.077,0.67,-9.31,0.824,0.01,3.775,0.813,0.784,4.336,-2.906,4.97,7.392,253.15,4
20000930,31,0.822,0.822,0.075,0.704,-8.239,0.83,0.01,4.792,0.848,0.825,5.571,-3.288,4.909,7.676,230.919,4
20001231,31,0.921,0.921,0.082,0.754,-8.242,0.806,-0.094,11.73,0.936,0.923,14.561,-2.683,2.503,4.678,233.692,4
20010331,31,0.889,0.889,0.08,0.742,-8.471,0.818,-0.094,7.989,0.907,0.891,9.763,-2.628,3.399,5.843,220.176,4
20010630,31,0.911,0.939,0.078,0.758,-7.453,0.793,-0.094,10.267,0.928,0.915,12.949,-2.591,2.401,4.332,232.015,4
20010930,31,0.891,0.951,0.07,0.737,-6.121,0.754,-0.094,8.153,0.915,0.899,10.81,-2.667,1.713,3.32,245.577,4
20011231,31,0.82,0.976,0.072,0.692,-5.867,0.666,-0.163,4.566,0.873,0.848,6.854,-2.477,0.846,1.955,267.906,4
20020331,31,0.83,0.972,0.073,0.7,-7.885,0.681,-0.163,4.884,0.878,0.854,7.174,-1.963,0.911,2.121,276.798,4
20020630,31,0.78,0.887,0.083,0.653,-8.044,0.686,-0.163,3.547,0.838,0.806,5.173,-1.669,0.805,2.168,271.741,4
20020930,31,0.759,0.831,0.104,0.628,-7.663,0.701,-0.163,3.15,0.818,0.782,4.495,-1.319,0.738,2.221,220.25,4
20021231,31,0.585,0.74,0.168,0.488,-2.397,0.531,-0.067,1.412,0.727,0.657,2.66,-2.221,0.466,1.184,139.779,4
20030331,31,0.603,0.719,0.121,0.509,-4.17,0.594,-0.067,1.522,0.719,0.657,2.562,-2.07,0.729,1.73,129.188,4
20030630,31,0.494,0.661,0.134,0.443,-4.308,0.501,-0.067,0.976,0.661,0.582,1.949,-2.336,0.711,1.478,110.666,4
20030930,31,0.293,0.461,0.092,0.312,-3.697,0.38,-0.067,0.415,0.522,0.416,1.092,-2.379,1.213,1.902,107.73,4
20031231,31,0.047,0.058,0,0.047,2.808,0.156,-0.083,0.049,0.24,0.092,0.316,-0.96,4.081,5.413,0,4
20040331,31,0.269,0.311,0.039,0.249,16.439,0.523,-0.083,0.368,0.413,0.317,0.703,-1.027,4.356,5.44,128.3,4
20040630,31,0.33,0.344,0.036,0.292,69.107,0.648,-0.083,0.493,0.432,0.355,0.761,-1.449,7.43,8.747,137.905,4
20040930,31,0.431,0.435,0.03,0.381,29.212,0.752,-0.083,0.758,0.502,0.448,1.008,-3.016,8.578,9.936,137.099,4
20041231,31,0.38,0.38,0.029,0.343,15.719,0.775,-0.08,0.613,0.442,0.391,0.792,-2.593,15.306,16.781,0,4
20050331,31,0.439,0.439,0.031,0.395,16.951,0.796,-0.08,0.783,0.496,0.451,0.984,-2.906,12.179,13.608,138.446,4
20050630,31,0.414,0.419,0.039,0.377,12.849,0.791,-0.08,0.708,0.472,0.427,0.894,-1.316,12.513,13.892,137.006,4
20050930,31,0.374,0.374,0.05,0.336,8.447,0.769,-0.08,0.597,0.437,0.386,0.776,1.693,13.772,15.162,134.107,4
20051231,31,0.346,0.348,0.094,0.306,6.355,0.714,0.026,0.53,0.426,0.369,0.742,2.888,8.21,9.413,125.013,4
20060331,31,0.33,0.333,0.069,0.298,4.113,0.739,0.026,0.492,0.4,0.346,0.666,9.145,10.529,11.708,145.035,4
20060630,31,0.296,0.299,0.067,0.269,2.704,0.723,0.026,0.421,0.368,0.315,0.582,16.526,9.587,10.635,137.09,4
