Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number,Sector Number
20050930,26,-0.009325911,-0.008344141,1.240551673,1.630433999,0.100034706,0.313751445,-1.995313923,0.179310606,1.169499096,0.158543726,-0.001273413,-0.112313313,-0.277831994,-0.360432351,0.437382544,1,5
20010930,171,-0.010984008,-0.011360418,0.508927795,-0.656011866,-0.059564299,-0.456827398,-0.616132077,-0.115477103,0.04090934,-0.036216245,-0.012046116,-0.079494587,-0.026334729,0.042916949,0.059166773,2,7
20010630,136,-0.011013269,-0.011351586,0.005936379,-0.294994098,-0.043749583,0.442181252,-1.259750272,-0.12076139,-0.627031537,-0.031196658,-0.014220028,-0.09723286,0.091592218,0.665083244,0.403380373,2,5
20031231,13,-0.011374148,-0.011369251,0.336183269,-0.339329614,-0.046808823,0.014081895,0.217944564,-0.148126446,-0.880388421,-0.054286758,-0.014933903,-0.096677931,-0.020318048,0.337361938,0.359989011,1,3
20060630,146,-0.009345418,-0.00986332,1.525072071,0.224364796,-0.041779225,0.019433137,-0.819725587,0.172516523,1.261628872,0.133445792,0.000774943,-0.102051985,0.149352355,-0.188000525,0.631374567,3,1
20020331,164,-0.010813322,-0.011166105,-1.127064488,0.05335638,-0.065786482,1.078979046,1.689071867,-0.099624243,-0.696128869,-0.022161402,-0.014503426,-0.065971831,-1.019087089,-0.675044805,-0.355671792,3,2
19950531,77,-0.010510963,-0.009408449,-0.410682774,0.800726497,0.02179075,-0.258831445,-0.819725587,-0.073957707,0.420944666,0.078230336,-0.009965474,-0.107581809,-0.901160142,-0.578240973,0.250203041,1,2
20051031,20,-0.011198585,-0.010932045,-1.055934388,-0.269659518,-0.029386709,-0.54244727,-0.491348957,-0.133217209,-0.172140768,0.013477665,-0.012899896,-0.094643189,-0.760369807,0.209298535,0.13469785,3,1
19990630,34,-0.011471684,-0.011797624,1.032242097,-0.966360474,-0.086319688,-0.70833577,0.40840301,-0.152655835,-0.408223319,-0.051275006,-0.013703455,0.159514528,0.364749534,-0.13354837,-0.433845468,2,6
19970930,63,-0.011315627,-0.011625391,-0.883189862,-0.478669805,-0.038875539,0.586664785,-0.537321685,-0.143030884,-1.139503416,-0.073863147,-0.015464826,-0.152355859,1.629455874,1.279182552,-0.140747749,4,6
